,CourseOne,CourseTwo,Relation
0,Why React,Rendering UI with React,reactnd
1,Rendering UI with React,State Management ,reactnd
2,State Management ,Hooks,reactnd
3,Hooks,Managing State ,reactnd
4,Managing State ,UI   Redux,reactnd
5,UI   Redux,Redux Middleware,reactnd
6,Redux Middleware,Redux with React,reactnd
7,Redux with React,React Redux Bindings,reactnd
8,React Redux Bindings,Implementing React   Redux,reactnd
9,Implementing React   Redux,Testing with Jest,reactnd
10,Testing with Jest,Introduction to React Native,reactnd
11,Introduction to React Native,Mobile Screens and Styling,reactnd
12,Mobile Screens and Styling,Navigation in React Native,reactnd
13,Navigation in React Native,Data Management with Redux,reactnd
